Entry	Gene names  (ordered locus )
Q12074	YPR069C
P38166	YBL102W
P38778	YHR050W
P32583	YKR092C
Q12516	YDL133W
P15705	YOR027W
P11972	YLR452C
P25344	YCL032W
P33300	YPL057C
O74700	YEL020W-A
O13539	YHR167W
Q05998	YLR237W
P31688	YDR074W
P35172	YBR001C
P80967	YPR133W-A
P53322	YGR260W
P39961	YER184C
P38334	YBR254C
P38264	YBR106W
Q12036	YPL148C
P33298	YDR394W
P47033	YJL078C
P53833	YNL282W
Q03713	YML030W
P22216	YPL153C
P33323	YHR157W
P21524	YER070W
P38232	YBR050C
P0CX42	YER117W
P0CX44	YGL135W
P0CX26	YJR094W-A
P43602	YFR022W
Q04062	YDR427W
P46969	YJL121C
P14063	YKL138C
P38204	YBL025W
Q12098	YLR135W
P38788	YHR064C
Q02875	YPL105C
Q07748	YDL244W
P38187	YBL067C
P38781	YHR056C
P25632	YCR052W
P01098	YDL130W-A
P16965	YGR008C
P0C0X0	YLR264W
P53538	YNL222W
P39938	YGL189C
P53850	YNL254C
Q00916	YIL061C
Q03976	YDR175C
Q07534	YDL119C
P40479	YIL113W
P22082	YOR290C
Q03148	YMR096W
P43321	YLR147C
P53965	YNL032W
Q03656	YMR216C
P52286	YDR328C
P22213	YDR189W
P39073	YPL042C
P38326	YBR231C
P38931	YDR443C
P38688	YPL210C
P46679	YMR053C
P38869	YHR181W
Q04921	YDR218C
Q12463	YOL124C
P00912	YDR007W
P39731	YAL034W-A
P46964	YOR103C
P39682	YML046W
P28005	YAL033W
Q08904	YOR380W
Q12223	YDL059C
P0C2H7	YDR471W
P04449	YGL031C
P53724	YNR022C
P40992	YJL025W
P07281	YNL302C
P0CX39	YBL072C
P38429	YMR263W
P18759	YBR080C
P32855	YPR055W
Q12314	YOR021C
P47057	YJL036W
Q03029	YPL130W
P32944	YJL187C
P12954	YJL092W
P41901	YGR059W
Q03010	YPL139C
Q00723	YGR075C
P33203	YKL012W
P15380	YOR348C
P48581	YOR368W
Q08742	YOR286W
P32338	YGR044C
P20434	YBR154C
P25042	YPR065W
P32387	YDR405W
P39516	YJL191W
