PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
P35182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268346.8,1007561,765105.1,495622.9,207977.7,768304.8,250520.8,NaN
P32047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5782456,4856407,5029833,3857086,5712659,949638.2,1722624,2391909
P53324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1527922,2058228,909958.7,1305912,3316603,252179.8,1096989,544730.9
Q12674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133939.6,1028971,322313,1338688,654149.8,716563.9,NaN,NaN
P27697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,491631,NaN,1442195,NaN,NaN,NaN,NaN,NaN
P39104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456999.8,606899.6,1219946,476521.4,477616.6,669314.9,914238,112913.8
Q12291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104389.9,160174.4,331431.2,1478382,731654.1,900771.6,790510.7,762673.4
P38710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199887.7,NaN,NaN,NaN,NaN,132194,NaN,NaN
P13587;Q01896;Q12691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150729.4,329397.6,0,800184.4,655239.9,269907.7,NaN,326573.4
P53183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,657893.1,3229096,1365686,776043.3,2151935,9351896,3863716,3741416
