Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P06245;107113.953125;132826.5;137830.125;122710.375;104278.5859375;115715.265625;118067.6328125;124486.875
P06367;4990138;5043520.5;4452014.5;4568967.5;3047864.75;2924065.5;3218051.75;3915611
P06634;3487776.75;3166484.5;3312875.75;3287517;2811449;2896347.25;2958756.25;2949809
P06700;44499.89453125;49778.81640625;50395.703125;47765.83203125;42780.515625;43955.16796875;69857.9765625;64870.27734375
P06701;22776.451171875;15642.6572265625;15366.4794921875;21023.63671875;15604.4453125;14713.9599609375;14390.9453125;17557.111328125
P06704;203016.578125;135761.328125;127090.109375;208912.515625;83724.8671875;90834.2578125;81489.8828125;111217.34375
P06738;471076.90625;670810.0625;826499.875;657171.5;832875.3125;856264.875;956718.25;876475.25
P06774;27413.3046875;21700.96875;18433.634765625;19520.068359375;8428.9443359375;6681.87841796875;11935.044921875;21323.599609375
P06775;159214.078125;99674.046875;117139.8125;142803.640625;82100.90625;67381.6875;70616.46875;72223.6953125
P06776;40923.74609375;44365.98046875;61676.47265625;58658.38671875;53378.015625;40213.4765625;53903.48828125;68148.265625
P06780;786545.625;768828.5625;792956.625;762902.25;828892.1875;902187.4375;906285.8125;894930.5625
P06781;69056.3671875;82940.15625;77536.140625;81189.8125;57577.11328125;53454.11328125;49189.08984375;54080.33984375
P06782;216206.015625;205193.984375;260402.140625;225849.671875;237046.71875;249156.671875;281746.84375;269926.71875
P06785;477222.25;359511.125;385800.8125;402792.375;387426.1875;364750.6875;400722.78125;389926.5625
P06786;206855.234375;190937.484375;191101.671875;193107.5;243717.453125;240227.609375;253179.21875;238922.484375
P06787;863054.0625;1057308.5;665519.3125;769997.3125;2499042.25;2306419;2816487.25;2394545
P06839;24779.203125;12736.9052734375;33023.94921875;29663.630859375;24718.712890625;30722.794921875;25967.64453125;28000.826171875
P06843;305245.4375;271215.0625;253479.65625;361210.90625;260758.890625;105296.46875;456117.53125;482585.90625
P06844;24255.296875;18820.625;21485.728515625;27192.78125;12962.68359375;13162.5576171875;12579.3291015625;15278.677734375
P07143;499580.0625;789507.6875;751284.125;599024.375;557632;616399.4375;566806.9375;610334.1875
P07149;5033135;5227847;6535286;5322871;6053855;6356634.5;6882689;6604553
P07170;5591539.5;6308069;5660896;5146480;6877143.5;6425556.5;5744478.5;5967352.5
P07172;276678.34375;264063.46875;296614.875;307178.46875;255806.109375;277332.15625;258675.546875;303334.71875
P07213;1245103.5;1196722.25;1214380.25;1233020.25;1491972.75;1471403.875;1401896.25;1492797.75
P07244;1986197.75;2044543.625;2330069.25;2024727.625;2237485.5;2198492.5;2155029;2372030.5
P07245;2942435.75;2823210;2935802;2841005.75;2633557.75;2639589;2704080.5;2694052.25
P07246;1474119;1303497.75;1324944.375;1449347.375;1521281.375;1532408.375;1429178.25;1531391.75
P07248;101557.796875;88268.8515625;84246.3203125;83282.9375;86823.296875;88886.84375;86264.0546875;90221.2265625
P07251;6682641.5;7335208;8137849;7448585;8701008;9298956;9511766;9125521
P07253;137055.1875;137714.0625;90897.9296875;112828.7421875;145459.671875;120513.6171875;118261.875;106318.1328125
P07255;67930.1328125;39831.34375;83449.390625;91864.828125;24381.345703125;21180.615234375;40701.3125;51235.19921875
P07256;968105;1125329.875;1124757.625;1054885.875;1136788.625;1169851.625;1186132.375;1184244.75
P07257;1495577.75;1876148.375;1756050.875;1681877.25;1835692.125;1870625.5;1820387.25;1762730.75
P07258;65198.8359375;29466.466796875;71124.3203125;82351.4453125;125520.40625;128627.5625;144036.46875;131537.59375
P07259;3560412.5;3554724.25;4356150.5;3963806.5;5443400;6013851.5;6553073;6571774.5
