Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
Q03219;259076.25;246593.921875;244611.328125;251074.328125;325668.6875;320298.8125;344195.0625;336789.25
Q03233;86277.9921875;83367;68492.6796875;80048.8828125;78808.3125;68069.6328125;74035.3203125;79090.40625
Q03246;53367.3828125;57330.08203125;59282.94140625;61527.13671875;59589.5703125;44137.421875;46584.5859375;64197.6953125
Q03254;33218.87890625;40635.34765625;48842.56640625;54966.30859375;23604.419921875;22574.720703125;33356.47265625;32263.28125
Q03262;161487.234375;129557.8046875;140097.8125;163381.71875;130583.8203125;159768.234375;193469.921875;171873.546875
Q03264;78013.765625;75572.9140625;77136.796875;74407.109375;68955.8359375;82733.7109375;71198.4296875;82143.890625
Q03266;97830.0390625;89754.8046875;86570.9375;96838.0546875;68910.984375;63878.52734375;78904.9296875;82349.28125
Q03280;247134.796875;234862.421875;266035.5625;253674.421875;192085.96875;194817.328125;208633.484375;207194.34375
Q03281;91506.3828125;91583.875;85619.5078125;77756.625;80034.21875;84549.5546875;72698.4453125;81568.234375
Q03290;36918.06640625;29707.671875;39824.73828125;37414.5703125;59626.28125;43919.9921875;38318.92578125;38159.453125
Q03305;142062.828125;94614.859375;108311.6484375;111143.3984375;130606.40625;131286.359375;117509.3359375;124865.65625
Q03306;35567.5703125;35450.3515625;38647.80078125;43774.34765625;22069.78125;25119.1328125;22920.58984375;27319.6953125
Q03322;55836.16796875;89216.2265625;95097.0625;91549.65625;112030.46875;111358.15625;149601.703125;126085.546875
Q03323;37692.9296875;32523.701171875;21909.400390625;35607.7421875;39292.69140625;36020.61328125;40788.41015625;31192.4921875
Q03327;116151.5859375;100680.453125;105850.421875;113611.9296875;75382.4453125;34106.8203125;76761.5234375;75833.3984375
Q03330;326157.34375;252825.296875;252805.859375;298492.46875;286535.5625;302722.03125;332573.8125;291456.75
Q03337;131006.1640625;106174.5234375;132018.328125;125623.1640625;121206.09375;117449.8125;124565.7265625;129104.5078125
Q03338;0;0;0;0;25974.869140625;27889.033203125;31536.302734375;37851.21875
Q03361;71168.1171875;92991.9765625;75241.1953125;85364.4765625;58515.9453125;57157.5234375;53930.953125;54469.54296875
Q03362;49988.7890625;26335.62890625;61322.36328125;67143.6640625;49728.2734375;52096.328125;73943.7578125;72867.84375
Q03370;0;0;0;0;29048.8203125;35160.70703125;30895.41015625;25029.255859375
Q03373;89440.921875;64372.77734375;49214.2578125;75003.359375;44229.9296875;57161.2578125;40444.41796875;19455.814453125
Q03390;128320.9140625;125997.4453125;110328.78125;121991.6875;78376.7734375;74382.4609375;86334.7421875;74775.7734375
Q03407;44767.1875;41998.203125;44668.0390625;43091.83984375;49027.54296875;45512.7265625;49348.265625;50869.48046875
Q03429;38494.83984375;20221.96484375;33021.54296875;24259.236328125;31586.763671875;21463.94140625;16288.603515625;20471.494140625
Q03430;49930.73046875;50049.671875;38110.46484375;49624.33984375;26512.544921875;29114.0859375;28864.009765625;36373.4296875
Q03435;22009.30078125;24876.34765625;20602.681640625;29490.47265625;20489.69140625;20002.384765625;22284.203125;21408.86328125
Q03496;45132.4453125;38735.34375;52534.046875;52909.859375;54040.3515625;67777.234375;89821.9765625;91225.421875
Q03497;121985.4921875;101045.75;110941.3046875;109525.90625;82900.703125;78721.125;87837.6328125;84020.8828125
Q03503;65723.015625;50691.32421875;80718.9609375;72095.984375;69727.1015625;84638.0546875;91155.34375;98319.1875
Q03516;153981.40625;171318.765625;117132.0625;131019.0234375;192799.5;131512.46875;147454.1875;150182.09375
Q03529;252922.0625;300542.25;272209.21875;267328.5625;228796.4375;243893.203125;230769.828125;236640.84375
Q03532;560767.5625;476166.34375;535670.9375;519379.1875;548765.25;562935.4375;592607.8125;617467.0625
Q03533;118811.5390625;110556.4140625;94496.984375;111049.0234375;86549.25;81641.5;76421.7734375;71351.1640625
Q03558;4769104;4709266;4268989;4409789.5;3772229.5;3605440.5;3562721.25;3682279
Q03559;326280.90625;340399.28125;297058.875;334831.59375;266187.78125;283411.09375;283994.21875;249153.40625
Q03579;322350.65625;321563.09375;301899.09375;267755.40625;286799.75;262761.46875;251080.515625;250066.6875
Q03629;443780.8125;521950.09375;478786.65625;480756.78125;463484.5625;467502.09375;467279.09375;461334.40625
Q03631;95886.6875;92351.9765625;99267.96875;85017.1875;64749.7890625;67452.4765625;43339.4765625;45148.859375
Q03640;2249932.75;2104498.75;2095117.625;2137624;1886654.125;1871528.25;1779240.875;1883002.125
Q03648;65598.390625;61619.73828125;45744.3828125;52273.95703125;50010.54296875;43127.80859375;43165.23828125;42724.16796875
Q03652;42769.03125;26874.26953125;26775.49609375;29946.9140625;28494.494140625;23740.865234375;25130.033203125;23485.958984375
Q03653;210825.171875;170718.203125;145985.921875;195032.171875;134302.734375;138057.84375;119160.9296875;121268.546875
Q03655;635294.0625;627999.125;561414.5625;638490.3125;517176.15625;462402.875;470973.1875;464113.5
Q03656;108325.1484375;107051.5234375;95047.9921875;92590.8046875;142363.390625;126954.3671875;88603.796875;95607.640625
Q03660;31962.837890625;40526.09375;63012.1875;36777.01953125;39572.890625;40185.7734375;40816.28125;40991.92578125
Q03661;103063;92387.1328125;70898.9453125;83742.28125;78210.84375;74649.265625;76140.5703125;78908.734375
Q03667;526953.5625;571018.5;490222.6875;702520.5;430558.1875;427004.09375;395879.71875;413443.96875
Q03674;141807.59375;98002.09375;131744.75;134560.4375;87626.6484375;58850.08203125;67982.8359375;89971.9296875
Q03677;132315.078125;155374.375;136132.4375;127649.421875;109778.65625;111108.5859375;110646.2734375;111074.7734375
Q03687;5347.3740234375;3861.626953125;14506.84765625;9177.6875;0;15240.265625;15274.958984375;5824.84033203125
Q03690;1431346.875;1367692.375;1417074.75;1394273.375;1616063.875;1665165.5;1573037.375;1611134.75
Q03691;440826.25;481872.4375;406824.4375;454230.875;393761.15625;350612.53125;357487.125;278148.6875
Q03702;0;0;0;0;6670.5986328125;7624.228515625;5943.11181640625;6810.6396484375
Q03705;196348.640625;175137.875;188414.171875;175318.53125;167506.375;166714.328125;164320.1875;185437.8125
Q03707;162859.734375;140280.671875;133584.375;160944.109375;94085.5078125;98323.2734375;81441.4609375;89117.9609375
Q03713;93506.03125;132402.671875;141314.453125;124892.2265625;123631.5625;134777.59375;125864.03125;124557.8984375
Q03714;63268.5546875;78819.8671875;52381.1171875;77857.9296875;45521.57421875;76281.9453125;53147.98046875;53999.28125
Q03723;92722.65625;60302.1875;103536.9609375;87330.3203125;100849.734375;94092.03125;95850.765625;95644.234375
Q03735;184847.9375;162200.921875;170844.046875;184920.125;130080.6640625;135818.046875;119985.5234375;130151.6875
Q03750;31161.84375;21958.83203125;13337.349609375;30068.802734375;13857.494140625;15465.1005859375;11062.849609375;0
Q03758;93822.6171875;57883.75;91385.6640625;101077.390625;56350.38671875;61522.87890625;66886.9296875;61422.0703125
Q03759;0;0;0;0;58724.734375;59441.73828125;51459.28515625;14345.5849609375
Q03761;164951.359375;152815.140625;143502.859375;160685.9375;143017;133621.390625;138650.5625;130302.2890625
Q03768;74163.046875;68435.953125;73821.25;90330.5546875;137252.984375;110778.921875;111840.421875;124285.2265625
Q03769;81901.953125;82349.03125;76554.6953125;77165.3671875;68795.5078125;77842.5625;66046.8515625;63295.7578125
Q03771;179806.625;126849.140625;145261.71875;151670.5;143475.046875;150896.8125;159541.921875;153850.6875
Q03774;97518.6484375;104854.5546875;115436.8046875;107357.0390625;161829.296875;156583.234375;174452.921875;161761.953125
Q03776;17572.3671875;13277.291015625;22258.09375;35264.7421875;29174.30859375;24852.154296875;44038.90234375;40608.9453125
Q03778;95837.109375;91872.6328125;106579.109375;122896.1328125;64456.0078125;75054.609375;96507.0234375;77513.2421875
Q03784;17843.572265625;18175.46484375;24187.7890625;18868.9140625;13904.16015625;21186.205078125;18966.69921875;21018.98828125
Q03786;90311.96875;69797.3671875;66211.0390625;88471.171875;120519.5390625;112917.484375;106901.390625;95984.1953125
Q03790;114407.2265625;110211.1640625;104729.5625;102328.75;94846.0703125;86137.8515625;88620.8984375;96665.984375
Q03792;0;0;0;0;5184.23095703125;6100.4443359375;8129.3271484375;7987.93310546875
Q03796;15253.7880859375;12395.3681640625;13326.5009765625;12350.509765625;19500.6640625;24981.150390625;25139.224609375;23148.96875
Q03798;204380.8125;166997.640625;174801.609375;192113.84375;177404.546875;169542.96875;169405.484375;189603.875
Q03799;115690.5546875;83862.7265625;81959.1015625;70967.2109375;52400.8515625;56182.29296875;61561.265625;50706.6015625
Q03833;0;36630.09765625;19760.765625;21246.765625;64667.42578125;47751.421875;49631.12109375;40136.296875
Q03834;119812.2265625;95447.9921875;102490.640625;104421.046875;118068.9765625;105303.9921875;109910.9140625;114659.09375
Q03835;255940.09375;256953.84375;290433.34375;295068.375;491919.34375;465312.75;461168.96875;487674.84375
Q03856;181733.171875;184349.8125;185220.109375;190453.140625;237976.8125;184402.25;186357.9375;220878.59375
Q03862;752941.9375;665993.625;732225.9375;723991.875;736754.0625;806393.25;749487.6875;834148.0625
Q03880;38499.0546875;33549.86328125;31376.03125;30251.45703125;51835.09375;46596.671875;57819.55859375;62309.0390625
Q03919;144603.40625;128626.078125;103069.0625;142279.828125;209427.359375;202027.765625;209133.140625;202498.5
Q03921;143091.140625;142923.34375;176168.390625;145369.59375;121057.3359375;147854.796875;166167.0625;165982.390625
Q03940;590874.0625;516615.1875;603221.9375;578258.25;532443.375;609318.3125;610723.125;636804.75
Q03941;161857.4375;134762.65625;137960.171875;137150.296875;204912.578125;211976.28125;195999.9375;192677.71875
Q03944;17484.736328125;17780.412109375;24674.173828125;16966.552734375;13579.4423828125;14086.572265625;16625.029296875;10685.2041015625
Q03954;49710.36328125;39119.546875;31854.041015625;35870.33203125;30704.62890625;27310.1796875;24922.125;24638.41796875
Q03956;0;0;0;0;136152.203125;122970.7578125;153840.34375;111046.125
Q03957;0;43557.53515625;40260.6171875;47362.1328125;36883.3046875;31250.1328125;38509.25;38332.1953125
Q03973;893925.125;824012.5;757824.8125;882870.3125;867799.5625;921538.0625;960615.8125;959341.375
Q03976;62121.0703125;59158.58203125;62960.609375;69748.6796875;43557.71875;48168.75390625;41385.61328125;44994.46484375
Q04002;6841.60400390625;13322.3671875;6492.5;19350.224609375;9812.74609375;7557.6806640625;5650.56787109375;9211.8349609375
Q04004;47276.22265625;54132.91796875;59085.3671875;44741.53125;46229.73046875;46632.63671875;48521.01953125;46446.76953125
Q04013;342467.09375;286019.96875;401250.65625;323876.8125;419038;441887.59375;501626.1875;471083.6875
Q04031;39776.98828125;36247.61328125;27421.11328125;41522.296875;83215.6953125;46732.05078125;83586.75;97820.4609375
Q04053;11750.1572265625;9044.0341796875;17855.0703125;18089.96875;18090.0546875;24769.8671875;34219.7265625;32485.82421875
Q04062;376059.5625;357114.4375;345332.75;411956.375;672728.9375;697298.0625;692743.75;706928.625
Q04066;110019.6796875;111167.3046875;138081.671875;135821.890625;124260.8515625;134586.609375;134983.59375;123127.828125
Q04067;2362102.75;2126214.25;2010552;2173645;1692958.375;1679197.75;1564773;1713437.5
Q04080;99762.1484375;40068.8046875;82817.828125;66630.578125;51635.95703125;52757.25;80144.640625;76191.15625
Q04081;41270.08203125;38833.72265625;37627.46484375;44562.38671875;34629.10546875;38816.53125;42977.26171875;47040.91015625
Q04119;175703.96875;167758.59375;148066.21875;164564.8125;124192.0625;162387.203125;160772.6875;169473.734375
Q04120;1399156.75;2043767.125;2954798.25;2686317;5811928.5;5499545;6579876;5634519.5
Q04170;233243.59375;267491.90625;323027.75;279087.1875;183632.703125;208534.390625;183146.28125;230630.390625
Q04175;140557.5;108422.1796875;133617.015625;143499.265625;156983.453125;179196.46875;217629.890625;196792.84375
Q04177;199405.765625;187802.4375;173152.34375;187110.109375;174462.8125;184859.453125;181516.296875;178140.9375
Q04178;492798.125;775666.625;677362.625;530974;738660.25;706308;619695;680560.875
Q04179;131031.1875;105737.4921875;113558.2734375;119754.9375;129052.171875;125609.4296875;106568.6875;119392.34375
Q04182;722978.1875;792637.8125;720018;827138.1875;656888.8125;664619.875;685781.4375;718496.875
Q04183;30598.24609375;23131.599609375;23896.427734375;36580.19140625;28439.673828125;36132.52734375;44821.75390625;46556.08203125
Q04201;253013.765625;221590.765625;155089.546875;243976.34375;110145.5234375;126803.796875;100395.828125;131889.921875
Q04212;0;0;0;0;29216.029296875;28338.966796875;27327.3515625;30356.861328125
Q04213;95640.671875;116312.390625;103239.9921875;95844.6796875;95345.03125;100809.125;89582.5;87629.2578125
Q04215;2532868.25;2662365.25;2543699.75;2560610;3140394.25;2415889;2542899;3381820
Q04217;128270.015625;103118.078125;112473.453125;112559.6875;117864.4453125;122405.5859375;129580.78125;129087.21875
Q04223;56436.8125;29078.1484375;41662.62890625;56575.50390625;32688.669921875;21067.396484375;54482.125;21883.216796875
Q04225;284520.65625;306800.40625;281523.28125;265092.5;357271.21875;337519.15625;304479.625;319044.75
Q04228;68370.953125;63225.5546875;67317.5234375;66910.15625;56637.51953125;58061.67578125;61608.671875;62956.25
Q04233;41705.78515625;27697.697265625;34901.62109375;42719.375;23153.6953125;23558.7578125;23544.63671875;23039.03125
Q04235;46109.4140625;46078.30078125;57262.54296875;49496.15234375;34689.9296875;27560.154296875;20754.333984375;41586.59375
Q04264;81089.125;61672.93359375;85473.078125;73689.0546875;95401.359375;101605.890625;127148.78125;118500.40625
Q04279;188215.296875;194036.4375;170239.390625;187874.640625;151816.1875;150388.125;155865.125;160755.125
Q04299;51198.9296875;46847.0390625;53645.29296875;56434.66796875;30271.791015625;30112.169921875;31113.076171875;43966.01953125
Q04304;284646.75;489460.09375;474366.25;505928.34375;617894;692074;717922.125;664625.5625
Q04305;174291.5;135717.890625;147278.921875;155030.40625;132160.546875;144967.125;141718.96875;152839.21875
Q04311;98442.9375;72756.7421875;84885.4453125;100116.640625;74564.9453125;71975.109375;77816.046875;73853.7578125
Q04322;87615.1875;98024.8828125;93336.4375;89547.6796875;84502.8984375;79566.53125;81105.890625;76399.359375
Q04336;543866.75;775074.6875;832199;778845.875;970988.9375;1054323.125;1068943.375;1080139
Q04338;693608.75;823538;634185.25;812914.125;737523;701668.25;677329.125;704843.4375
Q04341;100436.875;91128.0546875;118022.9296875;112732.328125;50784.16015625;54125.54296875;48027.3125;58322.94140625
Q04344;512750.3125;614437.1875;627955.9375;506612.46875;731503.5625;597248.375;534603.6875;600144.375
Q04347;52694.8671875;47789.1875;53217.34375;55037.43359375;56280.30078125;60353.38671875;52272.66796875;60384.16015625
Q04370;121487.359375;84487.6796875;103779.28125;162525.71875;65145.484375;65330.37109375;73154.0546875;70827.203125
Q04371;316388.65625;292001.09375;339628.53125;354444.375;386801.6875;445343.21875;494255;503448.15625
Q04372;86693;82598.03125;75696.1953125;84348.46875;112629.8828125;122895.4375;151079.921875;111186.25
Q04373;230760.765625;208781.40625;237529.578125;219577.046875;328080.9375;354593.0625;429455.40625;417213.46875
Q04383;0;0;0;0;53737.2421875;47751.45703125;58856.69140625;41701.08984375
Q04401;87191.0625;123042.5234375;88947.65625;102754.90625;135666.59375;149989.328125;144552.59375;152323.5625
Q04408;26188.732421875;22530.623046875;28494.29296875;23930.2578125;25034.966796875;22594.70703125;19522.673828125;23098.056640625
Q04409;644543.3125;563198.9375;832734.5625;758957.625;780621.9375;790394.6875;853072.5625;850347.5
Q04410;204091.015625;173561.578125;187203.71875;166857.796875;133675.421875;173759.359375;165092.484375;198887.953125
Q04418;68844.4765625;64896.51953125;48650.65625;60487.328125;77156.8515625;92903.3515625;76110.625;86353.1015625
Q04430;90563.53125;85047.40625;86015.0625;111647.2890625;91259.7421875;78973.5703125;79411.265625;90528.96875
Q04432;814049.9375;1389379.625;1200514.375;1284230.75;1261545.5;1177123.875;1321900.5;1264116.75
Q04437;42502.7734375;32090.607421875;62055.40234375;50099.9375;28303.896484375;31117.669921875;30085.435546875;40754.5703125
Q04439;617751.875;555566.6875;597117;609441.3125;511024.40625;507382.8125;535794.1875;543071.125
Q04458;117091.3125;154775.734375;192722.0625;158491.203125;189780.453125;211084.953125;227376.375;230262.421875
Q04472;30583.6796875;29335.23828125;49892.78125;46641.62890625;51469.86328125;60009.30078125;57301.25;57207.890625
Q04477;122894.1328125;133437.359375;88765.0078125;134368.65625;83905.7421875;72024.1640625;79704.03125;71497.140625
Q04489;25119.427734375;17885.806640625;20780.84765625;21517.578125;21283.51171875;26362.9140625;30702.900390625;36363.2578125
Q04491;177426.625;175311.3125;223247.28125;202628.171875;304273.3125;352201.53125;470609.6875;420043.46875
Q04493;529529.75;560444.6875;439805.75;572111.875;517347.03125;481511.9375;522512.40625;472539.5
Q04500;153100.9375;130096.890625;107284.9296875;134362.109375;117958.015625;118383.1875;136820.53125;132099.71875
Q04533;53686.80859375;32056.451171875;55268.68359375;39401.73828125;39643.171875;44424.5390625;49791.53125;50070.73828125
Q04545;0;0;0;0;20953.966796875;23047.833984375;28113.90625;27023.955078125
Q04562;70192.3125;60553.3203125;83612.3359375;92602.7578125;41817.921875;34256.3359375;45003.3515625;49041.27734375
Q04598;75768.1796875;74614.5234375;81932.3203125;75868.8125;51684.5859375;13270.462890625;43447.7734375;49090.015625
Q04599;233742.171875;247332.59375;201289.140625;251979.640625;151382.78125;141190.359375;151766.171875;157735.34375
Q04600;102962.1953125;91697.4453125;92835.0078125;102478.46875;92707.8515625;90228.9140625;103611.046875;94839.2890625
Q04602;121783.6640625;71515.3125;55491.47265625;71971.25;99932.59375;69306.2734375;95954.2421875;91105.125
Q04603;117986.109375;94891.4453125;82002.8203125;106971.09375;112151.1875;115369.2421875;104320.0859375;114921.65625
Q04632;19985.54296875;15156.0205078125;19627.765625;15133.6572265625;18830.349609375;16051.0849609375;18903.8125;18197.986328125
Q04636;360791.15625;339440.4375;396921.25;360061.71875;362364.625;393356.9375;365654.875;400540.53125
Q04651;237034.640625;214148.015625;188392.484375;159570.953125;297452.78125;287235.625;261847.140625;294592.40625
Q04660;485369.59375;439467.4375;453033.625;424311.1875;387930.4375;419351.59375;410933.90625;445101.53125
Q04693;76781.5625;64898.65234375;70079.640625;82534.09375;84573.3125;80103.375;95134.78125;89477.375
Q04697;624779.25;511938.34375;529067.75;572525.375;439403.125;466568.28125;451403.75;482682.71875
Q04728;157036.71875;159679.765625;141853.234375;150926.578125;177486.015625;177954.65625;177073.5;179461.671875
Q04749;27875.361328125;29420.42578125;25626.61328125;25998.10546875;19923.140625;19212.599609375;19133.32421875;18544.44921875
Q04767;17571.755859375;52289.14453125;57800.15625;0;64350.2890625;56651.375;50775.7421875;59006.875
Q04772;70870.125;58568.74609375;72949.0546875;77751.171875;47437;52139.5703125;49951.28515625;75135.015625
Q04773;199394.921875;169165.40625;152023.5625;160365.421875;244765.265625;207786.515625;265955.34375;201183
Q04779;416823.4375;431563.5625;461424.71875;401668.5;486546.46875;485055.0625;395108.1875;463587.71875
Q04781;120790.6015625;119865.421875;139970.953125;116272.234375;105207.1328125;119010.40625;129354.4921875;124419.6171875
Q04792;622333.9375;894853.125;1229515.625;859690.25;1085236.5;1173035.875;1347988.125;1186025.125
Q04839;48088.77734375;42566.21875;36249.91015625;39800.1484375;21787.8359375;25275.05078125;28780.357421875;31821.9375
Q04847;28530.513671875;36370.8359375;39669.84765625;57072.0625;39264.75390625;46212.41015625;63064.90234375;79470.765625
Q04867;138440.203125;105380.546875;99846.2578125;136706.09375;84251.6640625;89693.453125;92115.1171875;96032.7734375
Q04868;143704;109776.9296875;160584.09375;122883.28125;132667.28125;133638.453125;165319.4375;151424.9375
Q04869;1889845;1841738.25;2043986.25;1984795.5;3054739.75;2674284.25;2881924;2541499.25
Q04894;790632.0625;1293712.25;1111884.375;874006.1875;1766477.625;1868201.25;1710807.375;1773822.75
Q04924;67456.3359375;53253.54296875;57142.37109375;56988.9140625;62053.33203125;58391.9921875;52698.36328125;59163.11328125
Q04934;66875.046875;88026.8828125;73318.9921875;85004.421875;66724.0859375;57725.71484375;65080.90625;53612.7109375
Q04935;166547.15625;118374.8046875;150718.578125;191928.0625;176779.9375;139613.65625;152476.296875;158273.65625
Q04947;4177209.5;6126917;6027919.5;4348094.5;6883143;7009195;7212095;7060632.5
Q04951;106396.53125;127731.4140625;108941.734375;135506.265625;93721.265625;101989.8828125;109275.5;107013.5703125
Q04958;116695.1171875;107850.2109375;113746.5;121030.953125;92106.8046875;96007.1015625;98550.671875;85003.4453125
Q04964;203108.125;229898.796875;178265.3125;191249.578125;22969.3671875;20083.771484375;15313.166015625;38588.078125
Q04969;161560.8125;176656.96875;169032.640625;208460.390625;159115.078125;162621.171875;119207.7421875;157677.390625
Q04991;26983.244140625;87750.984375;131986.171875;136267;67242.984375;78913.1953125;58815.06640625;96992.375
Q05015;66090.8828125;78049.515625;71402.640625;69377.203125;71270.5;64185.73046875;61385.66796875;73708.4453125
Q05016;3043579.5;2781765;3307202;3266467.25;3250621.25;3009427.75;3568324;3264062.25
Q05021;59073.58203125;57941.96484375;54506.84765625;55589.8125;66790.65625;62921.39453125;58694.1015625;76472.4140625
Q05022;985513.1875;925907.5625;1031799.75;968631.375;1057482.125;1090459;1150774.25;1186227.5
Q05024;34705.4765625;37390.7265625;33510.62109375;33630.359375;53931.0390625;56145.3359375;42832.73828125;57067.55078125
Q05027;56555.49609375;56193.06640625;45758.25;57703.76953125;49724.890625;46063.96875;51116.1484375;45583.7265625
Q05029;208482.734375;165781.8125;241723.6875;203675.921875;180656.328125;229706.328125;225022.515625;231876.34375
Q05031;58362.4140625;39683.44921875;58056.203125;56392.30859375;40319.6640625;47638.9453125;60815.12109375;78927.9765625
Q05040;133825.796875;135540.703125;127630.28125;130687.0546875;153057.265625;132278.9375;134039.671875;130140.0859375
Q05050;6646500.5;7790829.5;7077637.5;7472431;6736372.5;6680396.5;7040201;6229999.5
Q05123;175986.359375;172036.265625;151249.8125;169178.5625;145117.375;136686.75;128401.8203125;149417.125
Q05166;7945.4501953125;6631.03271484375;8586.009765625;7867.2587890625;4297.7919921875;5645.953125;2791.27807617188;4940.4736328125
Q05359;258913.546875;271847.40625;309296.40625;315480.625;334857.1875;378862;350968.4375;333426.9375
Q05468;83833.1953125;73262.234375;78349.53125;102852.921875;67283.421875;74216.125;78860.7734375;77969.515625
Q05471;0;0;0;0;46133.71875;36083.265625;37663.41796875;37782.54296875
Q05498;146154.90625;124829.6875;133657.984375;156236.53125;113858.34375;110796.578125;120628.328125;125946.0703125
Q05506;1357301.875;1273756.125;1509494.125;1266763.5;2114308.5;2382169;2294166.5;2471744.5
Q05515;836303.5;1025513.4375;900460.125;748548.875;913577.0625;822918.25;793641.375;758480
Q05518;93326.9453125;86587.84375;85944.390625;91349.6484375;76706.734375;75914.984375;72740.71875;71836.296875
Q05521;126500.0390625;106873.5390625;134343.765625;122740.4296875;65009.8125;73581.703125;94239.6796875;99592.3515625
Q05533;44027.98046875;31792.263671875;33210.12109375;34129.25;29372.748046875;25901.95703125;26206.90625;33512.80859375
Q05543;130630.796875;136502.28125;121364.5234375;112986.46875;127428.1171875;123435.4375;105724.125;119831.3671875
Q05567;31586.9921875;30844.6484375;49893.26171875;44236.7890625;56950.79296875;61749.25;67371.671875;65965.6953125
Q05580;48810.0078125;41564.171875;39656.83984375;48455.8984375;41195.53125;44160.375;40397.46484375;42608.9140625
Q05583;106121.09375;106932.984375;120051.9140625;99309.4375;62464.36328125;89139.171875;96061.9921875;89120.5078125
Q05584;281255.9375;329101.625;285434.75;319323.71875;320744.8125;319131.5625;325368.6875;282859.84375
Q05635;147219.859375;96457.0546875;76489.453125;86259.5234375;81462.6015625;71541.546875;74582.859375;88014.9140625
Q05636;60471.92578125;65790.515625;61028.88671875;60998.546875;91793.9453125;87060.8359375;82156.3046875;87329.234375
Q05672;12022.6005859375;9808.603515625;8766.0595703125;0;30330.62109375;23322.693359375;15756.009765625;29056.125
Q05775;1343508.125;1196927.625;1109832.875;1193808.5;1333033.625;1239166.25;1407626.5;1323934
Q05778;150188.015625;132214.75;148607.90625;149184.125;162029.34375;153731.265625;159219.640625;169280.34375
Q05785;254016.8125;263744.96875;226120.09375;263948.46875;218647.734375;215870.328125;219005.015625;199935.890625
Q05787;72110.59375;58398.53515625;89120.796875;81910.609375;59555.52734375;76708.5;87535.40625;69118.875
Q05788;128135.203125;114553.1953125;126584.8359375;115508.71875;134338.28125;135553.375;150848.3125;134554.0625
Q05789;17562.166015625;24728.08203125;12360.6494140625;0;30566.93359375;38641.0859375;31737.02734375;30363.99609375
Q05791;84707.875;93399.4140625;81314.765625;111710.6171875;86038.59375;89948.2890625;87504.2109375;95246.8125
Q05809;89146.2578125;257453.21875;331219.625;195084.46875;45230.4453125;38764.7578125;24611.126953125;47407.41015625
Q05812;250007.734375;243513.171875;231340.078125;238947.25;192142.359375;187315.171875;199147.34375;194472.453125
Q05854;35347.59765625;39810.40234375;33039.31640625;0;19059.271484375;19551.7890625;0;20026.78515625
Q05871;72927.0078125;92189.1171875;74037.78125;71449.6328125;81048.8359375;0;65804.421875;94697.6953125
Q05874;66320.03125;63407.93359375;75390.6640625;66414.765625;124285.984375;146974.03125;147405.90625;136903.359375
Q05881;96741.2421875;128401.4609375;102793.8125;135981.5;172019.65625;146957.4375;171426.359375;174583.453125
Q05892;59225.46875;55886.6796875;60716.703125;61615.85546875;51345.79296875;50538.28515625;57232.22265625;62048.546875
Q05900;30097.1484375;23984.03515625;23682.81640625;22407.58203125;21324.9140625;17729.041015625;12736.4189453125;16928.55859375
Q05902;25346.34375;27253.4609375;32472.302734375;29643.064453125;31587.1796875;28191.96484375;35649.046875;29045.029296875
Q05905;1110821.25;1308957.75;1453204.5;1210189;1133029.625;1190521;1108846.375;1135756.75
Q05911;1964264.125;2060908.625;2066473;1841422;1811166.25;1812702;1711613.625;1895835.375
Q05924;73306.84375;57250.3984375;59133.62890625;56835.21875;47671.625;52378.58203125;45863.0390625;49299.95703125
Q05926;287286.03125;286256.09375;230266.859375;245715.625;220581.140625;222955.28125;210086.03125;204045.5
Q05931;144478.046875;153878.34375;146889.875;151074.21875;169483.796875;159873.328125;162801.375;171821.125
Q05933;125301.4609375;130651.2421875;162662.84375;132359.3125;283587.71875;276045.65625;339123.625;314200.6875
Q05934;71803.0078125;56618.08984375;79079.875;70632.7734375;54360.03515625;66613.859375;72768.890625;80055.765625
Q05942;99605.453125;83141.609375;74588.8203125;79278.0078125;92433.796875;78181.9453125;81363.5078125;73418.203125
Q05946;143454.359375;141630.359375;138488.40625;145826.46875;145614.90625;145770.953125;161274.921875;158407.734375
Q05948;249351.859375;246033.71875;266828.8125;246500.765625;250595.609375;233823.296875;242511.828125;236035.546875
Q05949;22824.060546875;18289.328125;21503.951171875;29356.236328125;44427.8359375;47957.12890625;35831.421875;37943.45703125
Q05979;280687.59375;277075.0625;343713.90625;338564.875;245764.4375;274568.90625;295498.21875;284498.40625
Q06005;65725.84375;55560.875;52531.25;65805.6796875;43667.8828125;38480.2109375;34290.63671875;39641.32421875
Q06010;238435.078125;252913.46875;265727.59375;247796.4375;285926.65625;302422.75;295725.5;290960.65625
Q06011;101875.453125;109714.0234375;98085.7578125;111454.3046875;112626.3671875;96641.4296875;103157.3046875;94532.96875
Q06053;178552.578125;161228.8125;143607.9375;146317.109375;169257.375;158046.078125;163823.765625;152068.09375
Q06063;58497.31640625;65761.828125;46026.53125;64532.62890625;47296.6953125;36103.87890625;30165.947265625;35607.05078125
Q06078;192462.359375;173295.578125;179606.1875;176329.421875;136596.234375;147738.640625;141295.109375;166615.140625
Q06089;111073.1015625;127619.5078125;185869.875;141337.8125;159104.375;172200.953125;206306.265625;200130.34375
Q06090;77775.09375;75454.0859375;81936.6640625;79567.59375;83641.609375;63051.73046875;38371.96484375;55408.40234375
